#| *Dataset id* | *Process* | *Generator* | *cross section*BR* | k-factor | filter efficiency | name 
#
# k-factor is filter efficiency is most if not all cases
# as of March 2013 this information can be found here:
# https://twiki.cern.ch/twiki/bin/viewauth/AtlasProtected/HSG5MCSamplesandRequests
#
# w+jets
167740 | Sherpa_CT10_WenuMassiveCBPt0_BFilter            | SherpaLowVpT | 10.974E+03 | 1.10 | 1.28E-02 | Wbb
167741 | Sherpa_CT10_WenuMassiveCBPt0_CJetFilterBVeto    | SherpaLowVpT | 10.974E+03 | 1.10 | 4.59E-02 | Wcc
167742 | Sherpa_CT10_WenuMassiveCBPt0_CJetVetoBVeto      | SherpaLowVpT | 10.974E+03 | 1.10 | 9.41E-01 | Wll
167743 | Sherpa_CT10_WmunuMassiveCBPt0_BFilter           | SherpaLowVpT | 10.974E+03 | 1.10 | 1.28E-02 | Wbb
167744 | Sherpa_CT10_WmunuMassiveCBPt0_CJetFilterBVeto   | SherpaLowVpT | 10.974E+03 | 1.10 | 4.59E-02 | Wcc
167745 | Sherpa_CT10_WmunuMassiveCBPt0_CJetVetoBVeto     | SherpaLowVpT | 10.974E+03 | 1.10 | 9.41E-01 | Wll
167746 | Sherpa_CT10_WtaunuMassiveCBPt0_BFilter          | SherpaLowVpT | 10.974E+03 | 1.10 | 1.28E-02 | Wbb
167747 | Sherpa_CT10_WtaunuMassiveCBPt0_CJetFilterBVeto  | SherpaLowVpT | 10.974E+03 | 1.10 | 4.59E-02 | Wcc
167748 | Sherpa_CT10_WtaunuMassiveCBPt0_CJetVetoBVeto    | SherpaLowVpT | 10.974E+03 | 1.10 | 9.41E-01 | Wll
#
167761 | Sherpa_CT10_WenuMassiveCBPt70_140_BFilter            | SherpaHighVpT | 2.51E+02 | 1.10 | 4.59E-02 | Wbb
167762 | Sherpa_CT10_WenuMassiveCBPt70_140_CJetFilterBVeto    | SherpaHighVpT | 2.51E+02 | 1.10 | 1.98E-01 | Wcc
167763 | Sherpa_CT10_WenuMassiveCBPt70_140_CJetVetoBVeto      | SherpaHighVpT | 2.51E+02 | 1.10 | 7.55E-01 | Wll
167764 | Sherpa_CT10_WmunuMassiveCBPt70_140_BFilter           | SherpaHighVpT | 2.51E+02 | 1.10 | 4.59E-02 | Wbb
167765 | Sherpa_CT10_WmunuMassiveCBPt70_140_CJetFilterBVeto   | SherpaHighVpT | 2.51E+02 | 1.10 | 1.98E-01 | Wcc
167766 | Sherpa_CT10_WmunuMassiveCBPt70_140_CJetVetoBVeto     | SherpaHighVpT | 2.51E+02 | 1.10 | 7.55E-01 | Wll
167767 | Sherpa_CT10_WtaunuMassiveCBPt70_140_BFilter          | SherpaHighVpTFullSim | 2.51E+02 | 1.10 | 4.59E-02 | Wbb
167768 | Sherpa_CT10_WtaunuMassiveCBPt70_140_CJetFilterBVeto  | SherpaHighVpTFullSim | 2.51E+02 | 1.10 | 1.98E-01 | Wcc
167769 | Sherpa_CT10_WtaunuMassiveCBPt70_140_CJetVetoBVeto    | SherpaHighVpTFullSim | 2.51E+02 | 1.10 | 7.55E-01 | Wll
#  
167770 | Sherpa_CT10_WenuMassiveCBPt140_280_BFilter           | SherpaHighVpT | 3.12E+01 | 1.10 | 6.31E-02 | Wbb
167771 | Sherpa_CT10_WenuMassiveCBPt140_280_CJetFilterBVeto   | SherpaHighVpT | 3.12E+01 | 1.10 | 2.20E-01 | Wcc
167772 | Sherpa_CT10_WenuMassiveCBPt140_280_CJetVetoBVeto     | SherpaHighVpT | 3.12E+01 | 1.10 | 7.17E-01 | Wll
167773 | Sherpa_CT10_WmunuMassiveCBPt140_280_BFilter          | SherpaHighVpT | 3.12E+01 | 1.10 | 6.31E-02 | Wbb
167774 | Sherpa_CT10_WmunuMassiveCBPt140_280_CJetFilterBVeto  | SherpaHighVpT | 3.12E+01 | 1.10 | 2.20E-01 | Wcc
167775 | Sherpa_CT10_WmunuMassiveCBPt140_280_CJetVetoBVeto    | SherpaHighVpT | 3.12E+01 | 1.10 | 7.17E-01 | Wll
167776 | Sherpa_CT10_WtaunuMassiveCBPt140_280_BFilter         | SherpaHighVpTFullSim | 3.12E+01 | 1.10 | 6.31E-02 | Wbb
167777 | Sherpa_CT10_WtaunuMassiveCBPt140_280_CJetFilterBVeto | SherpaHighVpTFullSim | 3.12E+01 | 1.10 | 2.20E-01 | Wcc
167778 | Sherpa_CT10_WtaunuMassiveCBPt140_280_CJetVetoBVeto   | SherpaHighVpTFullSim | 3.12E+01 | 1.10 | 7.17E-01 | Wll
#    
167779 | Sherpa_CT10_WenuMassiveCBPt280_500_BFilter           | SherpaHighVpTFullSim | 1.84E+00 | 1.10 | 8.29E-02 | Wbb
167780 | Sherpa_CT10_WenuMassiveCBPt280_500_CJetFilterBVeto   | SherpaHighVpTFullSim | 1.84E+00 | 1.10 | 2.32E-01 | Wcc
167781 | Sherpa_CT10_WenuMassiveCBPt280_500_CJetVetoBVeto     | SherpaHighVpTFullSim | 1.84E+00 | 1.10 | 6.85E-01 | Wll
167782 | Sherpa_CT10_WmunuMassiveCBPt280_500_BFilter          | SherpaHighVpTFullSim | 1.84E+00 | 1.10 | 8.29E-02 | Wbb
167783 | Sherpa_CT10_WmunuMassiveCBPt280_500_CJetFilterBVeto  | SherpaHighVpTFullSim | 1.84E+00 | 1.10 | 2.32E-01 | Wcc
167784 | Sherpa_CT10_WmunuMassiveCBPt280_500_CJetVetoBVeto    | SherpaHighVpTFullSim | 1.84E+00 | 1.10 | 6.85E-01 | Wll
167785 | Sherpa_CT10_WtaunuMassiveCBPt280_500_BFilter         | SherpaHighVpTFullSim | 1.84E+00 | 1.10 | 8.29E-02 | Wbb
