#| *Dataset id* | *Process* | *Generator* | *cross section*BR* | k-factor | name 

# signals
161822 | Pythia8_AU2CTEQ6L1_ZH100_llbb        | Pythia8     | 0.61597   | 1     | 1    | ZllH100
161823 | Pythia8_AU2CTEQ6L1_ZH105_llbb        | Pythia8     | 0.05255   | 1     | 1    | ZllH105 
161824 | Pythia8_AU2CTEQ6L1_ZH110_llbb    		| Pythia8 		| 0.04409 	| 1 	  | 1 	 | ZllH110
161825 | Pythia8_AU2CTEQ6L1_ZH115_llbb    		| Pythia8 		| 0.03632 	| 1 	  | 1 	 | ZllH115
161826 | Pythia8_AU2CTEQ6L1_ZH120_llbb    		| Pythia8 		| 0.02933 	| 1 	  | 1 	 | ZllH120
161827 | Pythia8_AU2CTEQ6L1_ZH125_llbb    		| Pythia8 		| 0.02297 	| 1 	  | 1 	 | ZllH125
161828 | Pythia8_AU2CTEQ6L1_ZH130_llbb    		| Pythia8 		| 0.01732 	| 1  	  | 1  	 | ZllH130
161829 | Pythia8_AU2CTEQ6L1_ZH135_llbb    		| Pythia8 		| 0.01254 	| 1  	  | 1  	 | ZllH135
161830 | Pythia8_AU2CTEQ6L1_ZH140_llbb    		| Pythia8 		| 0.00868 	| 1  	  | 1  	 | ZllH140
161831 | Pythia8_AU2CTEQ6L1_ZH145_llbb        | Pythia8     | 0.00568   | 1     | 1    | ZllH145
161832 | Pythia8_AU2CTEQ6L1_ZH150_llbb        | Pythia8     | 0.00342   | 1     | 1    | ZllH150

161800 | Pythia8_AU2CTEQ6L1_WH100_lnubb       | Pythia8     | 0.36607 	| 1  	 | 1   	| WlvH100
161801 | Pythia8_AU2CTEQ6L1_WH105_lnubb       | Pythia8     | 0.30701 	| 1  	 | 1   	| WlvH105
161802 | Pythia8_AU2CTEQ6L1_WH110_lnubb   		| Pythia8 		| 0.25552 	| 1  	 | 1 		| WlvH110
161803 | Pythia8_AU2CTEQ6L1_WH115_lnubb   		| Pythia8 		| 0.20875 	| 1  	 | 1 		| WlvH115
161804 | Pythia8_AU2CTEQ6L1_WH120_lnubb   		| Pythia8 		| 0.16725 	| 1  	 | 1 		| WlvH120
161805 | Pythia8_AU2CTEQ6L1_WH125_lnubb   		| Pythia8 		| 0.13023 	| 1  	 | 1 		| WlvH125
161806 | Pythia8_AU2CTEQ6L1_WH130_lnubb   		| Pythia8 		| 0.09755 	| 1  	 | 1  	| WlvH130
161807 | Pythia8_AU2CTEQ6L1_WH135_lnubb   		| Pythia8 		| 0.07004 	| 1  	 | 1  	| WlvH135
161808 | Pythia8_AU2CTEQ6L1_WH140_lnubb   		| Pythia8 		| 0.04810 	| 1  	 | 1  	| WlvH140
161809 | Pythia8_AU2CTEQ6L1_WH145_lnubb       | Pythia8     | 0.03130 	| 1  	 | 1   	| WlvH145
161810 | Pythia8_AU2CTEQ6L1_WH150_lnubb       | Pythia8     | 0.01872 	| 1  	 | 1   	| WlvH150

161813 | WH->lnubb mH=110GeV ptH>100GeV       | Pythia8     | 1.060     | 1     | 0.2413        | WlvH110_backup1
161814 | WH->lnubb mH=115GeV ptH>100GeV       | Pythia8     | 0.9165    | 1     | 0.2284        | WlvH115_backup1
161815 | WH->lnubb mH=120GeV ptH>100GeV       | Pythia8     | 0.7966    | 1     | 0.2102        | WlvH120_backup1
161816 | WH->lnubb mH=125GeV ptH>100GeV       | Pythia8     | 0.6966    | 1     | 0.1872        | WlvH125_backup1
161817 | WH->lnubb mH=130GeV ptH>100GeV       | Pythia8     | 0.6095    | 1     | 0.1600        | WlvH130_backup1                                                                                               


161844 | Pythia8_AU2CTEQ6L1_ZH100_nunubb      | Pythia8     | 0.1232  | 1 | 1     | ZvvH100
161845 | Pythia8_AU2CTEQ6L1_ZH105_nunubb      | Pythia8     | 0.1041  | 1 | 1     | ZvvH105
161846 | Pythia8_AU2CTEQ6L1_ZH110_nunubb  		| Pythia8 		| 0.0873 	| 1 | 1  		| ZvvH110
161847 | Pythia8_AU2CTEQ6L1_ZH115_nunubb  		| Pythia8 		| 0.0719 	| 1 | 1  		| ZvvH115
161848 | Pythia8_AU2CTEQ6L1_ZH120_nunubb  		| Pythia8 		| 0.0581 	| 1 | 1  		| ZvvH120
161849 | Pythia8_AU2CTEQ6L1_ZH125_nunubb  		| Pythia8 		| 0.0455 	| 1 | 1  		| ZvvH125
161850 | Pythia8_AU2CTEQ6L1_ZH130_nunubb  		| Pythia8 		| 0.0343 	| 1 | 1  		| ZvvH130
161851 | Pythia8_AU2CTEQ6L1_ZH135_nunubb  		| Pythia8 		| 0.0248 	| 1 | 1  		| ZvvH135
161852 | Pythia8_AU2CTEQ6L1_ZH140_nunubb  		| Pythia8 		| 0.0172 	| 1 | 1  		| ZvvH140
161853 | Pythia8_AU2CTEQ6L1_ZH145_nunubb      | Pythia8     | 0.0112  | 1 | 1     | ZvvH145
161854 | Pythia8_AU2CTEQ6L1_ZH150_nunubb      | Pythia8     | 0.00678 | 1 | 1     | ZvvH150

128975 | Z->ee, HF jets in ME, massive HQ 		| Sherpa 		| 58.78 	| 1.12 | 1 		| Zbcl
128976 | Z->mumu, HF jets in ME massive HQ 		| Sherpa 		| 58.786 	| 1.12 | 1 		| Zbcl
128977 | Z->tautau, HF jets in ME, massive HQ 	| Sherpa 		| 58.794 	| 1.12 | 1 		| Zbcl
128979 | Z->nunu, HF jets in ME, massive HQ 	| Sherpa 		| 315.37 	| 1.12 | 1 		| Zbcl

109300 | Z(ee)+bb - 0 partons                                   | AlpGenJimmy   | 6.5666        | 1.25  | 1         | Zbb_backup1
109301 | Z(ee)+bb - 1 partons                                   | AlpGenJimmy   | 2.4800        | 1.25  | 1         | Zbb_backup1
109302 | Z(ee)+bb - 2 partons                                   | AlpGenJimmy   | 0.8900        | 1.25  | 1         | Zbb_backup1
109303 | Z(ee)+bb - 3 partons                                   | AlpGenJimmy   | 0.3900        | 1.25  | 1         | Zbb_backup1
109305 | Z(mumu)+bb - 0 partons                                 | AlpGenJimmy   | 6.5666        | 1.25  | 1         | Zbb_backup1
109306 | Z(mumu)+bb - 1 partons                                 | AlpGenJimmy   | 2.4800        | 1.25  | 1         | Zbb_backup1
109307 | Z(mumu)+bb - 2 partons                                 | AlpGenJimmy   | 0.8900        | 1.25  | 1         | Zbb_backup1
109308 | Z(mumu)+bb - 3 partons                                 | AlpGenJimmy   | 0.3900        | 1.25  | 1         | Zbb_backup1
109310 | Z(tautau)+bb - 0 partons                               | AlpGenJimmy   | 6.5666        | 1.25  | 1         | Zbb_backup1
109311 | Z(tautau)+bb - 1 partons                               | AlpGenJimmy   | 2.4800        | 1.25  | 1         | Zbb_backup1
109312 | Z(tautau)+bb - 2 partons                               | AlpGenJimmy   | 0.8900        | 1.25  | 1        | Zbb_backup1
109313 | Z(tautau)+bb - 3 partons                               | AlpGenJimmy   | 0.3900        | 1.25  | 1        | Zbb_backup1

157537 | Z->nunu, Zpt>70, massless HF                   | Sherpa                | 1.8463E+2 | 1.2     | 1     | Zbb_backup2
157538 | Z->nunu, Zpt>140, massless HF                  | Sherpa                | 2.3409E+1 | 1.2     | 1     | Zbb_backup2
157539 | Z->nunu, Zpt>280, massless HF                  | Sherpa                | 1.377E+00 | 1.2     | 1     | Zbb_backup2
157540 | Z->nunu, Zpt>500, massless HF                  | Sherpa                | 6.8989E-02| 1.2     | 1     | Zbb_backup2
                                                                                                      
126414 | Z(ee)+cc - 0 partons                                   | AlpGenJimmy   | 1.5654E-02 | 1.25   | 1   | Zcc_backup1
126415 | Z(ee)+cc - 1 partons                                   | AlpGenJimmy   | 6.8946E-03 | 1.25   | 1   | Zcc_backup1
126416 | Z(ee)+cc - 2 partons                                   | AlpGenJimmy   | 2.9204E-03 | 1.25   | 1   | Zcc_backup1
126417 | Z(ee)+cc - 3 partons                                   | AlpGenJimmy   | 1.1411E-03 | 1.25   | 1   | Zcc_backup1
126418 | Z(mumu)+cc - 0 partons                                 | AlpGenJimmy   | 1.5649E-02 | 1.25   | 1   | Zcc_backup1
126419 | Z(mumu)+cc - 1 partons                                 | AlpGenJimmy   | 6.8930E-03 | 1.25   | 1   | Zcc_backup1
